Date_MDY,Moisture_Level,Is_Rainy,temperature_C,Light_Level,Reduce_Water
1/1/2022,80,0,31,80,0
1/2/2022,88,1,25,50,0
1/3/2022,79,0,32,100,1
1/4/2022,85,1,26,50,0
1/5/2022,87,0,28,80,1
1/6/2022,76,0,37,98,1
1/7/2022,74,0,36,80,1
1/8/2022,78,0,31,80,1
1/9/2022,90,1,23,53,0
1/10/2022,81,0,28,99,0
1/11/2022,81,1,26,78,0
1/12/2022,81,1,25,56,0
1/13/2022,81,1,27,56,0
1/14/2022,79,1,29,67,0
1/15/2022,85,0,28,80,0
1/16/2022,87,0,28,79,0
1/17/2022,76,0,28,80,1
1/18/2022,74,0,34,79,1
1/19/2022,76,0,35,90,1
1/20/2022,74,1,30,64,0
1/21/2022,78,1,27,66,0
1/22/2022,90,0,28,87,0
1/23/2022,87,1,25,53,0
1/24/2022,76,0,37,78,1
1/25/2022,74,0,34,98,1
1/26/2022,78,0,30,88,1
1/27/2022,88,0,30,85,0
1/28/2022,79,0,28,93,1
1/29/2022,85,0,25,93,0
1/30/2022,87,0,28,72,0
1/31/2022,73,0,33,78,1
2/1/2022,76,0,35,90,1
2/2/2022,74,1,30,64,0
2/3/2022,78,1,27,66,0
2/4/2022,90,0,28,87,0
2/5/2022,87,1,25,53,0
2/6/2022,76,0,37,78,1
2/7/2022,74,0,34,98,1
2/8/2022,78,0,30,88,1
2/9/2022,88,0,30,85,0
2/10/2022,79,0,28,93,1
2/11/2022,85,0,25,93,0
2/12/2022,87,0,28,72,0
2/13/2022,73,0,33,78,1
2/14/2022,81,1,25,56,0
2/15/2022,81,1,27,56,0
2/16/2022,79,1,29,67,0
2/17/2022,85,0,28,80,0
2/18/2022,87,0,28,79,0
2/19/2022,76,0,28,80,1
2/20/2022,74,0,34,79,1
2/21/2022,76,0,35,90,1
2/22/2022,74,1,30,64,0
2/23/2022,79,0,32,100,1
2/24/2022,85,1,26,50,0
2/25/2022,87,0,28,80,1
2/26/2022,76,0,37,98,1
2/27/2022,74,0,36,80,1
2/28/2022,78,0,31,80,1
3/1/2022,90,1,23,53,0
3/2/2022,81,0,28,99,0
3/3/2022,81,1,26,78,0
3/4/2022,81,1,25,56,0
3/5/2022,81,1,27,56,0
3/6/2022,79,1,29,67,0
