Moisture_Level,Is_Rainy,temperature_C,humidity,Reduce_Water
34,31,57,1,0
87,23,64,1,0
80,36,95,0,1
83,17,53,0,0
46,26,62,1,0
85,41,64,1,0
73,25,31,0,1
66,32,48,0,1
80,40,69,1,0
32,29,60,1,0
89,22,93,1,0
92,30,39,0,0
73,38,90,1,0
59,29,100,0,1
33,38,79,1,0
48,37,69,0,1
42,26,40,1,0
38,39,57,0,1
81,38,40,1,0
32,38,56,0,1
30,20,58,1,0
56,30,32,0,1
50,30,76,1,0
82,40,90,1,0
69,29,67,1,0
96,27,81,0,0
100,24,85,0,0
96,40,89,0,0
83,35,52,0,0
39,38,64,1,0
35,27,41,0,1
55,26,61,1,0
99,36,88,1,0
40,24,71,0,1
95,20,33,1,0
41,41,91,0,1
31,42,84,1,0
51,19,90,1,0
79,41,52,1,0
75,40,68,0,1
36,41,85,0,1
32,36,59,0,1
47,19,48,1,0
65,28,59,0,1
99,17,61,1,0
86,32,85,0,0
36,38,34,1,0
58,41,82,0,1
34,23,38,0,1
99,26,39,1,0
56,31,51,1,0
90,33,56,1,0
89,40,55,0,0
94,28,69,0,0
96,37,78,0,0
89,26,86,0,0
95,22,32,1,0
32,39,94,0,1
42,29,60,0,1
33,38,43,1,0
70,30,82,1,0
80,28,82,1,0
77,42,65,0,1
58,35,37,1,0
88,22,76,1,0
74,18,58,0,1
54,22,98,1,0
82,41,76,0,0
97,36,63,1,0
35,18,87,1,0
80,18,39,0,1
51,27,52,1,0
51,24,81,1,0
62,36,51,1,0
40,39,51,0,1
78,42,43,0,1
57,37,50,0,1
57,19,61,1,0
47,38,85,0,1
38,38,91,1,0
34,18,81,1,0
37,27,35,0,1
92,39,52,0,0
50,26,85,1,0
79,39,42,0,1
67,21,42,0,1
66,39,66,0,1
96,25,57,0,0
44,18,80,1,0
72,33,56,0,1
41,35,49,0,1
50,22,80,0,1
44,37,71,0,1
36,24,74,1,0
32,17,44,0,1
66,40,41,0,1
39,21,42,1,0
83,33,71,1,0
65,38,30,0,1
79,26,73,1,0
71,39,32,1,0
38,34,47,0,1
44,38,79,1,0
96,23,34,0,0
35,39,67,0,1
100,20,56,1,0
36,42,92,0,1
62,29,37,0,1
45,42,95,1,0
54,22,62,1,0
38,31,94,0,1
58,37,94,0,1
75,29,69,1,0
73,28,49,1,0
70,26,64,1,0
71,29,92,0,1
32,17,72,1,0
60,33,70,0,1
81,22,72,1,0
69,29,55,1,0
47,34,97,1,0
68,20,53,0,1
55,33,76,1,0
49,27,62,1,0
55,33,76,0,1
43,34,57,1,0
53,26,41,1,0
91,32,85,0,0
84,24,49,1,0
53,26,78,1,0
43,19,30,0,1
62,38,92,1,0
82,27,85,0,0
46,20,38,1,0
98,34,77,1,0
57,34,93,1,0
67,27,40,1,0
55,28,81,0,1
31,38,50,1,0
32,38,82,0,1
32,37,30,0,1
46,25,90,0,1
88,34,42,1,0
59,35,33,0,1
82,32,74,1,0
34,42,59,0,1
54,41,70,1,0
45,21,68,1,0
85,18,85,0,0
61,23,86,0,1
85,24,35,0,0
86,31,98,1,0
65,30,85,1,0
84,36,59,1,0
54,32,91,1,0
99,17,39,1,0
92,29,79,1,0
74,23,45,1,0
30,32,35,1,0
92,25,95,1,0
81,39,70,1,0
66,21,89,0,1
100,24,85,1,0
75,32,37,1,0
76,42,72,0,1
64,42,46,1,0
49,27,36,1,0
93,22,85,0,0
84,37,32,0,0
63,37,73,0,1
55,31,99,0,1
32,28,65,1,0
94,36,81,1,0
61,36,49,0,1
40,33,93,0,1
97,29,66,1,0
74,39,51,1,0
72,39,100,1,0
46,34,73,1,0
47,18,85,0,1
79,19,50,1,0
68,37,65,0,1
34,20,56,1,0
85,17,51,1,0
73,29,52,1,0
81,17,64,0,0
34,25,94,0,1
37,24,34,1,0
30,39,61,0,1
83,28,86,1,0
72,25,36,0,1
59,19,42,1,0
50,26,66,0,1
51,17,73,0,1
62,31,46,0,1
44,25,42,1,0
90,23,76,0,0
76,17,82,1,0
88,25,31,1,0
100,19,79,0,0
67,42,42,0,1
51,20,58,0,1
95,22,65,0,0
54,17,97,0,1
32,34,71,1,0
37,39,64,1,0
87,27,36,0,0
37,23,87,1,0
41,38,84,1,0
37,37,76,0,1
99,40,38,1,0
97,27,46,1,0
73,38,92,0,1
65,38,73,1,0
35,36,54,0,1
71,36,86,0,1
55,32,93,0,1
86,40,34,1,0
