Moisture_Level,temperature_C,humidity,Is_rainy,Reduce_Water
83,26,92,0,0
39,30,79,0,1
87,40,99,0,0
82,20,65,0,0
58,21,80,0,1
36,41,90,1,0
55,31,40,0,1
31,17,37,1,0
83,17,58,1,0
82,22,86,0,0
55,26,62,0,1
81,41,55,0,0
49,24,39,0,1
45,32,66,0,1
48,17,72,1,0
65,31,37,0,1
82,35,51,0,0
72,36,87,0,1
75,41,86,0,1
34,42,46,0,1
96,20,49,1,0
81,28,43,1,0
43,28,78,0,1
55,17,54,1,0
86,20,64,1,0
44,39,34,0,1
36,21,99,0,1
85,19,70,0,0
89,31,100,0,0
61,19,70,0,1
30,22,96,0,1
38,31,71,1,0
63,35,67,0,1
86,42,98,1,0
97,24,76,1,0
76,29,87,1,0
82,40,74,1,0
97,32,60,1,0
31,24,61,0,1
44,42,39,0,1
61,18,39,1,0
98,38,35,1,0
80,22,30,1,0
61,37,90,0,1
50,32,67,1,0
99,37,90,1,0
63,28,44,1,0
77,31,68,0,1
85,33,98,0,0
48,26,93,0,1
75,41,53,1,0
68,19,86,1,0
58,39,66,1,0
86,40,48,1,0
50,18,64,0,1
33,24,50,1,0
69,32,70,0,1
45,20,51,0,1
31,31,86,0,1
72,23,46,1,0
59,37,37,0,1
88,24,30,0,0
70,25,39,1,0
36,39,50,1,0
66,28,49,1,0
97,22,76,0,0
79,30,50,0,1
70,25,88,0,1
69,34,66,1,0
87,29,89,0,0
49,30,86,0,1
53,24,95,0,1
73,20,90,0,1
30,30,86,1,0
68,29,95,1,0
84,17,55,0,0
63,42,76,1,0
83,32,44,0,0
61,36,62,1,0
42,42,100,1,0
39,32,38,0,1
44,24,41,1,0
93,42,74,0,0
62,38,92,0,1
30,25,95,0,1
36,24,83,0,1
49,40,71,1,0
45,27,95,1,0
83,29,69,0,0
58,27,95,0,1
60,22,58,0,1
82,31,73,0,0
42,26,77,1,0
58,28,69,1,0
68,27,95,1,0
100,41,62,0,0
46,36,67,1,0
43,40,68,0,1
33,20,100,0,1
30,36,73,1,0
57,22,51,1,0
85,41,77,1,0
60,22,40,1,0
95,35,37,1,0
100,33,91,1,0
36,38,31,0,1
71,37,68,0,1
35,26,37,0,1
30,40,37,1,0
72,34,82,0,1
83,21,88,1,0
86,28,99,1,0
71,32,82,1,0
32,41,83,0,1
89,36,95,1,0
87,34,98,0,0
61,36,97,0,1
62,36,81,1,0
97,27,82,1,0
66,19,52,0,1
99,24,57,1,0
52,36,43,0,1
61,36,75,0,1
86,39,59,0,0
91,29,62,1,0
39,42,85,0,1
87,40,52,0,0
33,42,70,1,0
39,34,38,1,0
96,35,58,0,0
43,20,53,1,0
81,26,94,1,0
50,38,92,1,0
40,31,66,1,0
85,29,35,0,0
43,20,55,0,1
44,39,40,0,1
95,22,97,1,0
76,31,79,0,1
98,35,37,0,0
44,40,60,0,1
97,18,55,0,0
78,27,97,1,0
47,23,80,0,1
37,24,49,0,1
65,30,80,0,1
67,20,55,1,0
57,40,58,1,0
89,24,34,1,0
94,42,35,0,0
60,33,97,0,1
72,20,76,1,0
46,40,46,0,1
65,35,88,1,0
31,21,45,0,1
68,23,50,0,1
49,36,33,1,0
45,23,95,1,0
87,37,57,0,0
92,20,73,0,0
91,37,66,1,0
90,41,69,1,0
53,33,87,1,0
33,37,92,0,1
39,25,92,0,1
91,37,89,0,0
51,35,68,0,1
86,18,74,0,0
52,24,65,1,0
100,42,70,1,0
74,19,75,0,1
36,31,47,1,0
65,35,75,1,0
88,31,57,1,0
58,28,65,1,0
59,24,40,1,0
75,17,53,0,1
94,36,65,0,0
95,29,59,1,0
97,39,48,1,0
76,18,45,1,0
83,22,70,0,0
45,24,45,0,1
71,29,69,0,1
42,32,37,1,0
65,36,32,1,0
33,25,34,0,1
93,41,92,1,0
100,40,33,1,0
96,22,31,1,0
98,25,100,0,0
50,21,68,0,1
55,19,47,0,1
91,30,37,0,0
94,33,50,0,0
33,29,48,0,1
86,41,92,0,0
39,23,100,0,1
43,36,33,1,0
56,30,65,1,0
55,24,65,1,0
72,21,41,0,1
52,26,95,1,0
84,35,50,1,0
71,18,71,0,1
49,40,86,1,0
53,37,44,0,1
76,27,85,0,1
99,39,52,1,0
36,42,91,1,0
42,18,55,1,0
45,17,43,0,1
37,24,53,1,0
36,24,51,1,0
32,25,79,0,1
98,26,32,0,0
58,22,32,1,0
66,19,49,0,1
81,32,87,0,0
87,30,69,1,0
90,41,46,0,0
81,32,42,1,0
91,18,95,1,0
34,23,80,0,1
84,20,84,1,0
34,18,51,0,1
93,28,87,1,0
49,17,34,1,0
37,20,36,0,1
100,17,82,1,0
75,18,51,0,1
85,17,37,1,0
47,41,33,1,0
54,41,46,1,0
91,28,81,0,0
90,24,78,1,0
