Moisture_Level,Is_Rainy,temperature_C,humidity,Reduce_Water
78,32,72,1,0
33,24,68,0,1
95,27,48,1,0
74,35,86,1,0
100,38,77,1,0
83,20,92,1,0
73,27,31,0,0
83,21,95,0,0
98,20,78,1,0
96,28,58,1,0
97,35,71,1,0
91,26,88,0,0
90,38,38,0,0
57,27,98,0,1
93,32,64,0,0
57,21,50,0,1
87,28,44,1,0
37,29,35,1,0
89,34,92,1,0
66,36,36,0,1
31,18,62,0,1
80,30,68,0,0
77,17,73,0,0
89,22,61,0,0
71,37,31,1,0
43,26,40,0,1
66,38,94,0,1
85,34,32,1,0
30,17,56,0,1
95,40,39,0,0
41,32,52,1,0
59,21,92,1,0
61,29,43,0,1
50,34,83,0,1
52,39,72,0,1
59,22,81,1,0
98,34,49,0,0
94,37,36,0,0
53,17,94,0,1
97,40,80,1,0
77,35,52,0,0
57,32,55,1,0
33,42,41,0,1
85,37,49,1,0
60,21,94,0,1
46,27,75,1,0
33,22,63,1,0
62,18,81,0,1
70,30,96,1,0
75,27,61,0,0
90,18,35,1,0
59,40,34,1,0
92,25,87,0,0
63,33,72,1,0
79,27,82,0,0
49,25,41,1,0
92,37,76,0,0
94,24,66,0,0
93,27,85,0,0
69,25,38,0,1
57,28,42,1,0
64,32,49,1,0
91,29,46,1,0
95,40,73,0,0
82,29,100,0,0
99,26,31,0,0
50,30,57,0,1
90,19,86,1,0
100,19,38,0,0
31,31,99,1,0
50,38,51,0,1
36,17,91,1,0
78,39,86,1,0
49,29,79,0,1
100,35,61,1,0
81,25,97,0,0
71,17,49,1,0
65,28,71,1,0
63,39,58,0,1
61,32,98,0,1
65,27,58,0,1
57,34,74,1,0
65,40,100,1,0
96,31,66,1,0
97,41,33,1,0
61,19,59,1,0
75,37,79,1,0
91,20,50,1,0
71,32,68,1,0
48,41,44,0,1
78,32,31,0,0
66,22,53,1,0
52,20,76,0,1
45,35,50,1,0
94,27,96,1,0
47,25,85,0,1
99,25,51,1,0
68,40,77,0,1
42,36,44,0,1
31,29,30,1,0
50,26,83,1,0
92,38,30,1,0
48,26,31,0,1
35,33,32,0,1
46,34,75,0,1
44,37,63,0,1
43,39,94,1,0
90,35,32,0,0
73,35,79,0,0
39,26,63,0,1
32,26,55,1,0
75,37,58,1,0
36,40,99,1,0
84,17,73,1,0
69,17,69,0,1
60,22,50,1,0
61,27,30,0,1
97,22,93,1,0
62,29,66,1,0
34,19,56,0,1
53,29,64,0,1
76,38,44,1,0
64,26,90,1,0
42,39,89,1,0
65,24,65,1,0
33,37,31,0,1
32,42,79,1,0
56,41,83,0,1
80,31,41,1,0
93,38,30,0,0
39,37,72,0,1
39,37,44,1,0
75,20,51,1,0
61,32,89,1,0
67,32,89,0,1
31,41,31,1,0
36,25,62,0,1
47,42,35,1,0
59,41,77,0,1
63,36,98,1,0
82,18,59,0,0
90,21,45,0,0
67,42,84,1,0
75,35,33,0,0
99,30,57,0,0
64,29,87,0,1
53,27,58,1,0
41,26,51,0,1
79,28,62,1,0
30,19,93,0,1
93,40,88,1,0
91,37,100,0,0
57,31,91,0,1
58,24,72,1,0
51,27,56,1,0
41,23,37,0,1
59,42,89,0,1
94,27,35,1,0
58,21,51,0,1
94,35,78,1,0
40,30,92,1,0
79,31,81,0,0
56,25,77,0,1
53,38,35,0,1
91,38,80,1,0
53,19,51,1,0
40,35,90,0,1
95,35,77,0,0
65,32,38,1,0
96,22,63,0,0
75,37,76,1,0
68,31,75,0,1
71,38,57,1,0
69,34,47,0,1
81,25,70,1,0
65,32,42,0,1
73,25,66,1,0
61,38,56,1,0
33,29,79,1,0
63,36,72,0,1
93,40,96,0,0
44,37,63,1,0
72,19,86,1,0
70,29,73,0,1
90,33,45,0,0
39,28,59,0,1
97,34,47,0,0
98,19,54,1,0
56,40,42,0,1
41,37,84,1,0
40,34,45,0,1
44,24,77,0,1
31,29,72,1,0
40,39,71,1,0
52,40,85,0,1
54,28,52,0,1
37,34,56,1,0
44,38,51,1,0
100,26,82,0,0
49,35,81,0,1
77,29,40,1,0
64,20,69,0,1
88,31,92,0,0
53,17,61,0,1
71,19,68,1,0
37,18,88,0,1
79,25,55,0,0
33,20,36,0,1
87,37,40,1,0
36,33,84,1,0
32,33,34,1,0
32,18,57,0,1
72,28,60,0,0
33,20,61,1,0
52,25,47,0,1
64,23,82,1,0
34,38,69,1,0
62,20,77,0,1
85,21,34,0,0
49,39,99,1,0
58,21,35,1,0
72,38,53,0,0
53,17,39,1,0
32,18,46,1,0
75,29,78,1,0
43,21,84,1,0
95,36,94,0,0
90,41,31,0,0
66,21,94,0,1
63,37,44,0,1
98,36,80,0,0
51,20,97,1,0
44,39,52,0,1
48,36,52,1,0
75,29,54,0,0
77,19,70,1,0
86,28,45,1,0
52,40,74,1,0
50,20,65,1,0
82,39,37,0,0
49,38,70,1,0
60,21,80,1,0
91,31,98,0,0
38,19,87,1,0
56,22,52,1,0
77,39,82,1,0
69,25,94,0,1
77,22,38,1,0
94,30,89,0,0
73,22,37,1,0
68,17,35,1,0
75,18,93,1,0
75,42,85,0,0
51,29,100,1,0
81,25,80,0,0
30,28,30,1,0
54,19,47,0,1
88,23,40,1,0
36,29,55,0,1
48,28,65,0,1
100,23,31,1,0
75,42,45,1,0
50,29,45,0,1
59,18,64,0,1
71,37,48,0,0
46,21,32,0,1
63,37,65,0,1
52,27,64,1,0
71,22,72,0,0
74,28,81,0,0
32,34,96,0,1
43,22,92,1,0
53,32,91,0,1
85,39,81,1,0
66,18,68,1,0
38,26,90,0,1
50,37,72,0,1
91,35,34,0,0
77,19,65,0,0
68,40,86,1,0
98,31,89,1,0
48,29,98,1,0
97,40,93,0,0
96,29,79,0,0
40,34,67,0,1
88,33,72,0,0
97,19,83,0,0
97,25,80,0,0
34,17,39,1,0
95,21,76,0,0
54,37,53,1,0
55,25,35,0,1
49,41,54,1,0
67,39,77,0,1
82,30,78,1,0
30,24,84,0,1
33,40,40,1,0
69,26,88,0,1
43,42,57,1,0
88,21,67,1,0
70,33,67,0,1
39,40,86,0,1
36,33,60,1,0
74,33,74,0,0
86,33,55,0,0
30,22,40,0,1
53,22,99,0,1
64,18,65,1,0
76,37,87,1,0
49,18,91,1,0
61,23,65,1,0
34,24,78,1,0
63,20,61,1,0
84,36,82,1,0
100,40,81,1,0
37,17,46,0,1
64,24,73,0,1
58,31,48,0,1
59,20,82,1,0
30,17,57,1,0
59,42,40,1,0
32,23,62,0,1
75,38,75,1,0
35,23,95,0,1
47,42,38,0,1
89,40,79,0,0
75,19,80,0,0
34,29,61,0,1
35,20,48,0,1
31,23,33,0,1
90,38,39,0,0
98,17,33,1,0
60,38,69,0,1
94,40,57,0,0
49,21,45,1,0
43,36,63,1,0
43,26,80,1,0
88,18,63,1,0
60,19,62,1,0
39,31,78,0,1
49,26,49,0,1
54,17,40,0,1
67,35,49,0,1
56,42,79,1,0
88,29,30,1,0
30,20,35,1,0
99,26,84,1,0
67,30,45,1,0
87,22,54,0,0
94,21,52,0,0
98,42,67,0,0
30,41,33,0,1
85,25,30,1,0
100,28,75,0,0
65,20,41,1,0
99,35,36,0,0
98,33,57,1,0
79,25,61,1,0
64,18,46,0,1
86,36,62,1,0
43,39,99,1,0
57,42,64,1,0
58,28,100,1,0
47,37,72,1,0
80,40,85,1,0
91,21,30,1,0
49,27,47,1,0
82,18,38,1,0
95,25,73,0,0
44,34,93,1,0
83,22,76,0,0
67,23,75,0,1
35,22,97,0,1
73,35,80,0,0
58,29,51,0,1
50,25,74,1,0
63,31,53,0,1
90,30,55,1,0
38,37,70,0,1
62,42,52,1,0
70,35,89,0,1
81,41,48,0,0
60,19,54,1,0
55,25,37,1,0
31,31,32,1,0
66,26,100,0,1
